Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations,Quarter,Price_per_kWh,Range_per_kWh
2023,5,1,2,17646,17922,92874.27,120,704,1863.42,1,12207,2,773.95225,5.866666666666666
2015,2,0,3,3797,4164,62205.65,75,438,249.46,2,7640,1,829.4086666666667,5.84
2019,1,3,3,8411,9189,117887.32,82,480,605.59,1,14071,1,1437.6502439024391,5.853658536585366
2021,2,3,1,6555,7311,89294.91,120,712,700.07,2,9333,1,744.1242500000001,5.933333333333334
2016,12,2,4,12374,13537,114846.78,120,661,1226.88,0,8722,4,957.0565,5.508333333333334
2020,4,0,3,4656,5043,86930.57,82,477,333.14,2,5798,2,1060.1289024390244,5.817073170731708
2015,11,0,1,7717,7976,87588.21,82,475,549.84,1,9961,4,1068.1489024390244,5.7926829268292686
2020,6,1,0,8410,9192,73815.61,100,592,746.81,2,8216,2,738.1561,5.92
2022,4,1,2,15145,15760,69993.86,100,563,1279.0,1,13264,2,699.9386,5.63
2021,3,2,4,7790,8208,50591.6,82,485,566.72,1,3383,1,616.9707317073171,5.914634146341464
2020,11,0,1,8319,9154,117946.76,120,670,836.06,0,10165,4,982.8896666666666,5.583333333333333
2025,5,0,0,5937,6483,78837.18,82,477,424.79,1,14940,2,961.4290243902439,5.817073170731708
2020,10,2,2,8724,9355,99200.65,82,453,592.8,0,5325,4,1209.7640243902438,5.524390243902439
2020,11,0,2,10737,11658,78316.37,75,426,686.09,1,5601,4,1044.2182666666665,5.68
2020,4,3,0,4408,5007,91115.89,120,665,439.7,0,8397,2,759.2990833333333,5.541666666666667
2025,3,3,0,17079,18904,111739.13,120,682,1747.18,2,3904,1,931.1594166666667,5.683333333333334
2023,11,1,2,12540,13453,56018.16,100,592,1113.55,1,11616,4,560.1816,5.92
2020,7,1,2,16546,17888,97411.05,100,585,1451.91,2,14471,3,974.1105,5.85
2017,1,1,2,6472,6810,57769.87,100,590,572.77,0,14372,1,577.6987,5.9
2021,1,0,1,7808,8183,102109.35,60,359,420.46,1,8256,1,1701.8225,5.983333333333333
2019,5,2,1,13977,14319,57301.92,75,417,874.26,2,13525,2,764.0255999999999,5.56
2016,9,0,2,13993,14982,118537.35,60,349,732.53,1,4515,3,1975.6225000000002,5.816666666666666
2020,1,0,4,11592,12383,90750.14,100,567,985.9,2,4971,1,907.5014,5.67
2025,9,3,2,17854,18489,80631.84,60,355,950.73,1,5009,3,1343.864,5.916666666666667
2022,4,3,2,10056,11163,78773.3,120,681,1027.22,0,7885,2,656.4441666666667,5.675
2025,3,2,0,5209,5621,65114.79,100,594,464.12,0,4024,1,651.1479,5.94
2016,12,3,0,5224,5657,87919.34,100,588,460.76,0,13003,4,879.1934,5.88
2022,5,1,1,12541,13898,56168.86,120,710,1335.62,2,11787,2,468.0738333333333,5.916666666666667
2017,6,3,3,6312,6933,117797.61,75,435,411.86,1,3923,2,1570.6348,5.8
2023,11,3,2,12717,12755,96953.2,60,344,656.2,0,7161,4,1615.8866666666665,5.733333333333333
2016,10,0,2,16449,17908,99184.36,82,460,1134.98,2,9148,4,1209.5653658536585,5.609756097560975
2024,1,2,3,15387,16070,88150.59,100,561,1294.82,2,8327,1,881.5059,5.61
2020,9,2,2,9326,10117,100029.16,100,596,833.74,2,13947,3,1000.2916,5.96
2023,5,2,0,11531,12204,85790.7,60,357,617.49,0,13491,2,1429.845,5.95
2024,1,3,1,3819,4249,91284.57,82,482,276.11,2,8146,1,1113.2264634146343,5.878048780487805
2015,3,2,1,1899,2125,68958.26,60,343,97.7,0,3941,1,1149.3043333333333,5.716666666666667
2023,3,1,2,17330,18767,67727.18,82,490,1273.75,0,3343,1,825.9412195121951,5.975609756097561
2019,8,0,4,15165,16539,94101.31,60,342,777.96,1,4731,3,1568.3551666666667,5.7
2017,12,1,2,13031,13160,51340.88,60,354,691.95,2,9296,4,855.6813333333333,5.9
2023,6,1,2,13583,14019,55191.14,100,594,1210.25,0,13172,2,551.9114,5.94
2022,7,1,2,11182,11651,57416.91,60,333,558.54,0,6494,3,956.9485000000001,5.55
2019,4,0,3,11163,12314,69143.22,82,481,805.41,0,3619,2,843.21,5.865853658536586
2023,1,3,2,9835,9882,92861.79,82,480,708.12,1,8000,1,1132.4608536585365,5.853658536585366
2017,8,0,3,7581,8402,95971.06,100,585,665.23,2,3100,3,959.7106,5.85
2025,1,3,3,6076,6746,50549.14,120,692,630.69,2,12525,1,421.24283333333335,5.766666666666667
2018,12,3,0,8427,9430,115869.46,82,476,601.69,0,11899,4,1413.0421951219514,5.804878048780488
2024,5,3,0,14312,14795,83375.67,60,333,714.88,0,7740,2,1389.5945,5.55
2021,2,2,1,14163,14499,98168.24,100,556,1181.19,1,8104,1,981.6824,5.56
2025,9,3,1,11340,11791,81180.36,60,351,597.05,0,7510,3,1353.006,5.85
2025,11,1,0,9171,10536,97489.87,100,586,806.13,1,5555,4,974.8987,5.86
2024,9,0,3,8409,8777,103557.81,100,588,741.67,2,6509,3,1035.5781,5.88
2016,9,1,3,14559,15638,107977.45,60,340,742.51,2,5085,3,1799.6241666666667,5.666666666666667
2024,2,0,0,17392,19926,55857.67,75,446,1163.52,1,4513,1,744.7689333333333,5.946666666666666
2015,3,3,0,5716,6522,116775.0,60,357,306.09,1,7441,1,1946.25,5.95
2015,4,0,4,7633,8492,102818.0,82,455,520.95,0,13830,2,1253.878048780488,5.548780487804878
2018,7,3,2,7131,8189,97902.0,82,489,523.06,2,4710,3,1193.9268292682927,5.963414634146342
2025,3,0,3,11956,13742,58158.12,120,710,1273.31,0,8997,1,484.651,5.916666666666667
2017,4,0,0,5651,5846,50103.17,75,439,372.12,1,14602,2,668.0422666666666,5.8533333333333335
2018,8,3,3,1240,1336,112760.23,82,459,85.37,2,3270,3,1375.124756097561,5.597560975609756
2025,5,3,3,11008,11674,110366.63,75,419,691.85,0,9530,2,1471.5550666666668,5.586666666666667
2022,12,1,0,8171,9073,60650.35,82,488,598.12,2,13713,4,739.6384146341463,5.951219512195122
2018,2,2,0,15273,15975,52818.06,100,579,1326.46,0,7772,1,528.1806,5.79
2021,5,0,2,9541,9929,109857.66,100,567,811.46,2,14676,2,1098.5766,5.67
2018,5,0,2,5894,6491,77715.61,120,705,623.29,0,8450,2,647.6300833333333,5.875
2015,7,3,0,4405,4472,60700.14,60,337,222.67,2,4928,3,1011.669,5.616666666666666
2021,8,3,2,7933,8430,85597.72,82,470,559.28,2,6248,3,1043.8746341463416,5.7317073170731705
2024,8,1,1,11880,13074,62262.24,75,430,766.26,0,10781,3,830.1632,5.733333333333333
2020,3,3,3,11918,13671,60898.48,60,336,600.67,1,5541,1,1014.9746666666667,5.6
2019,1,3,1,13075,13668,87272.96,120,693,1359.15,0,10206,1,727.2746666666667,5.775
2015,4,0,2,13598,15097,106243.67,100,564,1150.39,2,5129,2,1062.4367,5.64
2019,4,2,3,13892,15134,101770.68,100,560,1166.93,1,13099,2,1017.7067999999999,5.6
2017,8,3,2,11311,12214,58077.62,60,348,590.43,0,4406,3,967.9603333333333,5.8
2018,8,0,0,6880,7303,64678.32,120,718,740.98,1,10747,3,538.986,5.983333333333333
2024,12,0,2,10239,11592,94708.94,120,683,1048.99,0,8109,4,789.2411666666667,5.691666666666666
2022,10,2,1,8455,9204,85264.14,60,349,442.62,0,14674,4,1421.069,5.816666666666666
2020,9,1,1,6496,6966,112078.21,75,426,415.09,1,11996,3,1494.3761333333334,5.68
2017,1,3,2,6113,6850,69513.19,60,336,308.1,0,14489,1,1158.5531666666668,5.6
2021,10,2,3,11128,11881,78561.41,60,350,584.22,2,5998,4,1309.3568333333335,5.833333333333333
2016,1,0,0,8067,8485,75972.71,75,449,543.31,1,3481,1,1012.9694666666668,5.986666666666666
2016,10,3,2,6258,7036,69706.48,60,356,334.18,2,4350,4,1161.7746666666667,5.933333333333334
2023,12,0,2,5649,6211,64983.67,120,685,580.43,0,5372,4,541.5305833333333,5.708333333333333
2015,12,0,4,5719,6486,66096.82,82,459,393.75,2,3373,4,806.0587804878049,5.597560975609756
