country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,trade_balance,health_income_ratio,mortality_fertility,Cluster,DBSCAN,Need_Index
Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553,-34.9,0.004708074534161491,524.964,1,1,0.1276765159563935
Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090,-20.6,0.0006596173212487412,27.39,0,0,-0.12853484029103932
Algeria,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460,7.0,0.00032325581395348837,78.897,0,0,-0.1006155509666151
Angola,119.0,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530,19.4,0.00048305084745762714,733.04,1,-1,0.14926011013327606
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200,-13.399999999999999,0.0003157068062827225,21.939,0,0,-0.16555617892704172
Argentina,14.5,18.9,8.1,16.0,18700,20.9,75.8,2.37,10300,2.8999999999999986,0.0004331550802139037,34.365,0,0,-0.1482467943685419
Armenia,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220,-24.499999999999996,0.0006567164179104478,30.589000000000002,0,0,-0.10868491487457418
Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900,-1.0999999999999979,0.0002108695652173913,9.264,2,0,-0.31273260593117325
Austria,4.3,51.3,11.0,47.8,43200,0.873,80.5,1.44,46900,3.5,0.0002546296296296296,6.191999999999999,2,0,-0.31082654207685045
Azerbaijan,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840,33.599999999999994,0.0003675,75.264,0,-1,-0.08550574516179653
Bahamas,13.8,35.0,7.89,43.7,22900,-0.393,73.8,1.86,28000,-8.700000000000003,0.0003445414847161572,25.668000000000003,0,0,-0.19362593981084547
Bahrain,8.6,69.5,4.97,50.9,41100,7.44,76.0,2.16,20700,18.6,0.00012092457420924574,18.576,2,-1,-0.22564068026664438
Bangladesh,49.4,16.0,3.52,21.8,2440,7.14,70.4,2.33,758,-5.800000000000001,0.001442622950819672,115.102,0,0,-0.031033143092116106
Barbados,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000,-9.200000000000003,0.0005209150326797385,25.276,0,0,-0.16470146881661968
Belarus,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030,-13.100000000000001,0.0003462962962962963,8.195,0,0,-0.14611992657413259
Belgium,4.5,76.4,10.7,74.7,41100,1.88,80.0,1.86,44400,1.7000000000000028,0.0002603406326034063,8.370000000000001,2,-1,-0.29343756687573713
Belize,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340,0.7000000000000028,0.0006598984771573604,50.948,0,0,-0.09046248092441095
Benin,111.0,23.8,4.1,37.2,1820,0.885,61.8,5.36,758,-13.400000000000002,0.0022527472527472526,594.96,1,0,0.13341930155957024
Bhutan,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180,-28.200000000000003,0.0008099688473520249,101.626,0,0,-0.05577338360497777
Bolivia,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980,6.900000000000006,0.0008946395563770794,149.12,0,0,-0.033252455242981226
Bosnia and Herzegovina,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610,-21.599999999999998,0.0011419753086419752,9.039000000000001,0,0,-0.1501149881331135
Botswana,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350,-7.699999999999996,0.00062406015037594,151.2,0,0,-0.010982452370649504
Brazil,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200,-1.1000000000000014,0.0006213793103448276,35.64,0,0,-0.1380395499479682
Brunei,10.5,67.4,2.84,28.0,80600,16.7,77.1,1.84,35300,39.400000000000006,3.523573200992556e-05,19.32,2,-1,-0.3384249757318985
